prijmeni;jmeno;trida;skola_izo;skola_zkr;skola_nazev
6e42e;34f14;1.S;60153245;Gymn.+SOŠVrchlabí;Krkonošské gymnázium a Střední odborná škola, Vrchlabí, Komenského 586
7159b;94ad7;1.S;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
2ce60;c9e48;1.S;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
fc892;7d468;1.S;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
cab45;75811;1.S;102254869;ZŠNáchKom;ZŠ Náchod, Komenského 425
3bde3;888e1;1.S;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
c75c7;23a74;1.S;49290576;ZŠaZUŠRtyněvPod.;Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší, Rtyně v Podkrkonoší, Školní 662
fd08f;1dfcc;1.S;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
dd034;5b30c;1.S;110200403;SPŠTrutnov;Střední průmyslová škola, Trutnov
c68e0;9ec2c;1.S;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
b884b;81b69;1.S;49290649;ZŠSvato;Základní škola Malé Svatoňovice, 17. listopadu 178
665c6;f028d;1.S;47463848;ZŠFriml;Základní škola, Trutnov, Rudolfa Frimla 816
7d554;f5f20;1.S;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
e2a96;0b6c1;1.S;102578397;ZŠLánov;Základní škola a Mateřská škola, Lánov, Prostřední Lánov 155
ba80b;7635a;1.S;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
af823;eeb58;1.S;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
de94d;fec38;1.ST;60154691;ZŠPodharťDv.Kr.;Základní škola Podharť, Dvůr Králové nad Labem, Máchova 884
91ad6;96c04;1.ST;102254885;ZŠTepl.n.Met.;Základní škola a Mateřská škola, Teplice nad Metují, Rooseveltova 106
da5ed;f0c24;1.ST;49290576;ZŠaZUŠRtyněvPod.;Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší, Rtyně v Podkrkonoší, Školní 662
4223f;12df2;1.ST;47466928;ZŠRudník;ZŠ a MŠ Rudník, okres Trutnov
395b8;ae5a1;1.ST;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
9b94a;03150;1.ST;47463996;ZŠBří.Ú;Základní škola Bratří Čapků, Úpice, Komenského 151
57e39;86d5a;1.ST;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
82033;84226;1.ST;117900729;ZŠŠk.Vr 1336;Základní škola, Vrchlabí, Školní 1336
bb3d5;910be;1.ST;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
4bc9c;3f8d4;1.ST;102578869;ZŠPoříč;Základní škola, Trutnov 3, Náchodská 18
067f6;17741;1.ST;110200403;SPŠTrutnov;Střední průmyslová škola, Trutnov
e7225;21dc9;1.ST;49290576;ZŠaZUŠRtyněvPod.;Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší, Rtyně v Podkrkonoší, Školní 662
e1857;05389;1.ST;60152885;ZŠBuky;Základní škola a mateřská škola, Mladé Buky 160
c74bf;9944c;1.ST;102254991;ZšaMŠChvalkovice;Základní a mateřská škola, Chvalkovice
3604b;527ed;1.ST;60152885;ZŠBuky;Základní škola a mateřská škola, Mladé Buky 160
685f3;098a5;1.ST;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
a09df;e46d5;1.ST;47463783;ZŠMlád;Základní škola, Trutnov 2, Mládežnická 536
4a538;73838;1.ST;102254621;ZŠČerv.Kost.;ZŠ Červený Kostelec
7c2bb;908ea;1.ST;49290266;ZŠMaršo;Základní škola a Mateřská škola, Horní Maršov, okres Trutnov
e61d0;6a3a7;1.ST;102578737;ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
083de;ad413;1.ST;47464143;ZŠGorké;Základní škola kpt. Jaroše, Trutnov, Gorkého 38
31eca;b20fd;1.ST;60154691;ZŠPodharťDv.Kr.;Základní škola Podharť, Dvůr Králové nad Labem, Máchova 884
34bd5;22c3f;1.ST;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
6e236;0f213;1.ST;47463724;ZŠKomenTrut;Základní škola, Trutnov, Komenského 399
8a569;f987a;1.ST;102578737;ZŠSvobo;Základní škola, Svoboda nad Úpou, okres Trutnov, Kostelní 560
bfc25;a80c3;1.ST;102718881;ZŠDomky;Základní škola, Trutnov, V Domcích 488
3580f;6e228;1.ST;49290576;ZŠaZUŠRtyněvPod.;Základní škola a Základní umělecká škola, Rtyně v Podkrkonoší, Rtyně v Podkrkonoší, Školní 662
da946;a3fdc;1.ST;49290649;ZŠSvato;Základní škola Malé Svatoňovice, 17. listopadu 178
