Reg. č.,Výsledek,2. PPřR,1. PPřR,Průměr ZŠ,Body ZŠ,JPZ MA,JPZ ČJ,Celkem JPZ,Celkem PZ
419140,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.07,1.13,1.1,57.0,47.0,42.0,89.0,146.0
420812,nepřijat pro nedostačující kapacitu oboru,1.18,1.27,1.225,53.25,9.0,25.0,34.0,87.25
422605,přijat na základě přijímací zkoušky,1.14,1.21,1.175,54.75,32.0,42.0,74.0,128.75
424154,nepřijat pro nedostačující kapacitu oboru,1.44,1.33,1.385,48.45,22.0,20.0,42.0,90.45
424209,přijat na základě přijímací zkoušky,1.38,1.44,1.41,47.7,30.0,33.0,63.0,110.7
424456,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.24,1.2,1.22,53.4,15.0,24.0,39.0,92.4
426060,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.25,1.33,1.29,51.3,35.0,44.0,79.0,130.3
426273,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.38,1.5,1.44,46.8,29.0,26.0,55.0,101.8
426359,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.5,1.25,1.375,48.75,38.0,34.0,72.0,120.75
426586,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.41,1.4,1.405,47.85,33.0,34.0,67.0,114.85
428340,přijat na základě přijímací zkoušky,1.0,1.0,1.0,60.0,35.0,35.0,70.0,130.0
428734,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.0,1.0,1.0,60.0,34.0,37.0,71.0,131.0
428736,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.67,1.8,1.735,37.95,20.0,28.0,48.0,85.95
429258,nepřijat pro nedostačující kapacitu oboru,2.0,1.93,1.965,31.05,29.0,33.0,62.0,93.05
429641,nepřijat pro nesplnění podmínek přijímacího řízení,2.33,2.94,2.635,10.95,7.0,14.0,21.0,31.95
431813,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.0,1.06,1.03,59.1,41.0,34.0,75.0,134.1
431864,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.47,1.47,1.47,45.9,30.0,31.0,61.0,106.9
433290,přijat na základě přijímací zkoušky,1.69,1.5,1.595,42.15,40.0,24.0,64.0,106.15
433944,nepřijat z důvodu přijetí na školu/obor s vyšší prioritou,1.0,1.0,1.0,60.0,47.0,38.0,85.0,145.0
