Reg. č.;Výsledek;Body ZŠ;JPZ MA;JPZ ČJ;Celkem JPZ;Celkem PZ;2. PPřR;1. PPoR;Průměr ZŠ
503501;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;47.5;29.0;42.0;71.0;118.5;1.06;1.13;1.1
504808;přijat na základě přijímací zkoušky;25.75;20.0;31.0;51.0;76.75;2.0;1.93;1.97
505551;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;48.5;23.0;37.0;60.0;108.5;1.06;1.06;1.06
505578;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;31.75;14.0;40.0;54.0;85.75;1.6;1.86;1.73
506639;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;40.5;23.0;39.0;62.0;102.5;1.33;1.43;1.38
507675;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;36.25;19.0;39.0;58.0;94.25;1.56;1.53;1.55
508669;nepřijat pro nedostačující kapacitu oboru;20.75;7.0;21.0;28.0;48.75;2.4;1.93;2.17
509557;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;42.5;29.0;23.0;52.0;94.5;1.27;1.33;1.3
515489;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;31.5;15.0;26.0;41.0;72.5;1.6;1.87;1.74
521091;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;45.25;13.0;34.0;47.0;92.25;1.19;1.19;1.19
521917;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;35.75;22.0;29.0;51.0;86.75;1.63;1.5;1.57
522376;nepřijat pro nedostačující kapacitu oboru;31.75;10.0;16.0;26.0;57.75;1.65;1.8;1.73
522906;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;33.5;16.0;32.0;48.0;81.5;1.56;1.76;1.66
523965;nepřijat pro nesplnění podmínek přijímacího řízení;23.75;2.0;0.0;2.0;25.75;1.94;2.15;2.05
525846;nepřijat pro nedostačující kapacitu oboru;25.0;10.0;31.0;41.0;66.0;1.93;2.06;2.0
