Reg. č.;Výsledek;Body ZŠ;JPZ MA;JPZ ČJ;Celkem JPZ;Celkem PZ;2. PPřR;1. PPoR;Průměr ZŠ
443342;nepřijat pro nedostačující kapacitu oboru;11.75;24.0;0.0;24.0;35.75;2.75;2.31;2.53
443674;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;50.0;39.0;0.0;39.0;89.0;1.0;1.0;1.0
444478;přijat na základě přijímací zkoušky;36.75;13.0;19.0;32.0;68.75;1.47;1.59;1.53
444488;přijat na základě přijímací zkoušky;33.25;22.0;33.0;55.0;88.25;1.75;1.59;1.67
444620;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;50.0;37.0;0.0;37.0;87.0;1.0;1.0;1.0
444948;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;40.25;13.0;25.0;38.0;78.25;1.24;1.53;1.39
444967;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;44.5;31.0;40.0;71.0;115.5;1.31;1.13;1.22
446213;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;41.25;24.0;24.0;48.0;89.25;1.29;1.4;1.35
446758;přijat na základě přijímací zkoušky;46.75;25.0;33.0;58.0;104.75;1.13;1.13;1.13
448363;přijat na základě přijímací zkoušky;36.0;27.0;36.0;63.0;99.0;1.73;1.38;1.56
449063;nepřijat pro nedostačující kapacitu oboru;25.75;11.0;22.0;33.0;58.75;2.0;1.94;1.97
453091;nepřijat z důvodu přijetí na školu/obor s vyšší prioritou;48.25;35.0;38.0;73.0;121.25;1.13;1.0;1.07
